id,cd,emd
03001627/2842701d388dcd3d534fa06200d07790,0.0075539714,0.0017159468
03001627/6601d179e754149e2f710dc8afceb40e,0.009295938,0.0030810821
03001627/7d8e6b132c64d909b161f36d4e309050,0.014273003,0.0038584783
03001627/663b17baebd39695398b2b77aa0c22b,0.00962797,0.0022100308
03001627/25ad35439836dd7c8fc307d246c19849,0.014362035,0.004325618
03001627/6190eb8be0f39ad782e3bf439621ac4d,0.0111268135,0.0037677377
03001627/ddfe96c6ec86b8752cbb5ed9636a4451,0.006666071,0.0048213806
03001627/548ab6b6e8b2dc505ff61a3a2a0e2484,0.0143795125,0.0026428893
03001627/e3b625f979f3a32fb591e8fb800990fa,0.0077581806,0.0023263814
03001627/b3a9c49a1924f99815f855bb1d7c4f07,0.011261887,0.0032478059
03001627/bc92651fd7cd9ca8cf68feb7ddf815ce,0.0058319755,0.0013517942
03001627/4a63afd1da7fd633e6c5cd45aa112726,0.006191087,0.001472731
03001627/3372fd42f389a36a762ec387b772e9e1,0.0048618903,0.0011968763
03001627/b10798977605fd017a4de8972b988aa,0.011776674,0.0023688204
03001627/d2c93dac1e088b092561e050fe719ba,0.007761123,0.0027030583
03001627/f3e0042ea11660d0ff2c92c2a4f65876,0.0065192506,0.00369987
03001627/9aecd48a3af10deeee83c0324834f3fa,0.011874194,0.0023313868
03001627/4dc7fe6e98c4db21d79b19c7c4f0e293,0.009973951,0.0035060495
03001627/8e93fb99aaf17b9504ca5aa564aebd0,0.010142438,0.004081443
03001627/4344509d0442364d3f9d6e0ade5188b0,0.0076142317,0.0032394195
03001627/22ff2267856b5d369158e0f216b27548,0.008126701,0.0027687557
03001627/7121296a75c725aee8f8c11a24c52ebb,0.009729737,0.0028252325
03001627/ce2d77c8b0436db4f5d0dadcce96e179,0.011778276,0.0030853841
03001627/b9e9eb2d09981218d3c5964623f1547a,0.005381711,0.0011310937
03001627/4f42be4dd95e5e0c76e9713f57a5fcb6,0.006204064,0.0020768696
03001627/59fd3d1409c0ee2e47bc3701b998a7d5,0.013143966,0.003202385
03001627/3db18530ff6bbb50f130e9cdbbb1cf40,0.01071337,0.002652711
03001627/f030f5181057ddf75622d7484764b58f,0.010481555,0.0029417712
03001627/f31f8722de9008c8c5aaa7f1cfa788b7,0.01083428,0.0034632615
03001627/4fae9528f1403fd0f9702e673573a443,0.0105060525,0.0023219779
03001627/5f7615668d2a7b313b8d5c0ebdd194c8,0.00508462,0.0021098605
03001627/668b9f6517f2bf501e54ac67f0143e13,0.010001634,0.004735612
03001627/351705e42490c3506764a784715fb668,0.012393137,0.004202388
03001627/b8c678c49e40ee5307776da88d1350f,0.014781847,0.0024466952
03001627/2892ab19f2d3a88a3ee8e30b29f70dfc,0.008159293,0.0027895092
03001627/6730fb4ca7c90ddccd8b2a7439d99cc3,0.010042483,0.0025079087
03001627/6e50f19c52a760e3cc1159c3b443c932,0.0076951995,0.0029564188
03001627/68c7f82dd1e1634d9338458f802f5ad7,0.0056533096,0.002337902
03001627/d14d1da1e682a7cfaac8336231c53cd1,0.009246951,0.0030754341
03001627/bfbb19b74bb5973e14de2a9aaff52ac7,0.0072129187,0.0023789448
03001627/124ef426dfa0aa38ff6069724068a578,0.007982049,0.0019335834
03001627/c86cfe147872280463626070a93463cf,0.0064150947,0.001581407
03001627/c91eb95b40e4b6f8e83221ad0d21775,0.01220073,0.0034252277
03001627/4ea3d680127a9fe91360172b4b6205b1,0.013928229,0.0018281905
03001627/1878633a36518ffc19fb4103277a6b93,0.013920272,0.003730116
03001627/55b00797abf243c3cce5160f0c502ac3,0.010729279,0.0031577444
03001627/8ea007bffdc9a27831aee04639d1b4e0,0.006960225,0.0015697398
03001627/ca01fd0de2534323c594a0e804f37c1a,0.005973727,0.0015017281
03001627/682bbcd00c5287a39d365481aaba80e,0.008587959,0.0026539848
03001627/88842eadd96e5cab570b6bda9783c8ba,0.010144594,0.002746765
03001627/63e2d9ab50536799b2b9c1746713a87e,0.006489811,0.0021915534
03001627/8ac2d831ebeab4896b7c7aa09852a4e0,0.008199524,0.002500633
03001627/8c629a89e570c8776a9cd58b3a6e8ee5,0.007720678,0.0044139964
03001627/816d1c517ef6bf7890a9ce3e4b15521e,0.012349535,0.0024043387
03001627/65840c85162994d990de7d30a74bbb6b,0.0051373234,0.0026044305
03001627/9cd0529b7ce926017dbe6b236c44c533,0.006417049,0.003991775
03001627/da264a41dd8fdd655357c338ec9641,0.008156925,0.0029773477
03001627/e04ceec8711a6027a6e27bc066049db5,0.0063733575,0.0019249964
03001627/17e916fc863540ee3def89b32cef8e45,0.007086385,0.0018510883
03001627/4ae919ca418d3625d30ba6a673002f3e,0.0070718615,0.0016648216
03001627/2d1ebd7356968c0919fb4103277a6b93,0.010939002,0.002557005
03001627/3f5f14f6156261473b194e6e71487571,0.010253852,0.0048394613
03001627/3115864130f4e8188f56c17c21b5509b,0.0053540654,0.0018040998
03001627/908de4d82bfb422ec43a4855019be9b5,0.012075448,0.002592637
03001627/b0531a0d44fc22144224ee0743294f79,0.0073188413,0.004063245
03001627/d764960666572084b1ea4e06e88051f3,0.008141951,0.002696037
03001627/ff5a945aef7a68ffcf9ff3ee543c2925,0.012375204,0.003795131
03001627/52a96a3c89305673504721639e19f609,0.0076972693,0.0026794665
03001627/f4427ee23d4d51fabbf98dcec5f11066,0.009122334,0.0021171586
